sample
ERR274309
ERR274310
SRR070570
SRR070571
SRR1001909
SRR1001910
SRR1019221
SRR1019436
SRR1019437
SRR1046909
SRR1046910
SRR1049784
SRR1105822
SRR1105823
SRR1159821
SRR1159827
SRR1159837
SRR1207194
SRR1207195
SRR1260032
SRR1260033
SRR1261509
SRR1524935
SRR1524938
SRR1524940
SRR314813
SRR314814
SRR314815
SRR345561
SRR345562
SRR346552
SRR346553
SRR394082
SRR401413
SRR401414
SRR401415
SRR401416
SRR401417
SRR401418
SRR401419
SRR401420
SRR401421
SRR446027
SRR446028
SRR446033
SRR446034
SRR446039
SRR446040
SRR446484
SRR446485
SRR446486
SRR446487
SRR477075
SRR477076
SRR493036
SRR493097
SRR493098
SRR493101
SRR493237
SRR493238
SRR504179
SRR504180
SRR504181
SRR515073
SRR515074
SRR527164
SRR527165
SRR547531
SRR548277
SRR584115
SRR584121
SRR584129
SRR584134
SRR653555
SRR653556
SRR653557
SRR653561
SRR653562
SRR653563
SRR653564
SRR653565
SRR653566
SRR653567
SRR653568
SRR653569
SRR653570
SRR653571
SRR653572
SRR653573
SRR653574
SRR653575
SRR653576
SRR653577
SRR653578
SRR764885
SRR797194
SRR797230
SRR800753
SRR800754
SRR833246
SRR847501
SRR847502
SRR847503
SRR847504
SRR847505
SRR847506
SRR924656
SRR934391
SRR942022
SRR949956
SRR949965
SRR949988
SRR949989
